image,tag,score
0,"ear, spike, capitulum",0.5032617449760437
0,corn,0.33714520931243896
0,"miniskirt, mini",0.026873383671045303
0,"jean, blue jean, denim",0.01776079088449478
0,"bikini, two-piece",0.01762554980814457
0,sunglass,0.008295302279293537
0,"sunglasses, dark glasses, shades",0.007504837587475777
0,Loafer,0.006720630452036858
0,"cellular telephone, cellular phone, cellphone, cell, mobile phone",0.005864678416401148
0,"suit, suit of clothes",0.004988954868167639
0,sandal,0.004878301173448563
0,hay,0.004112721420824528
0,maillot,0.0037879927549511194
0,gown,0.0027988823130726814
0,sarong,0.0027235925663262606
0,abaya,0.0021389273460954428
0,"maillot, tank suit",0.0012813000939786434
0,"lakeside, lakeshore",0.0012410380877554417
0,"sunscreen, sunblock, sun blocker",0.0012130452087149024
0,"notebook, notebook computer",0.0008503113640472293
0,"sandbar, sand bar",0.0007740998989902437
0,cardigan,0.0007500232895836234
0,wombat,0.0006405318272300065
0,"groom, bridegroom",0.0006175056914798915
0,park bench,0.0005902774864807725
0,"clog, geta, patten, sabot",0.0005750819691456854
0,"pajama, pyjama, pj's, jammies",0.0005424952250905335
0,"cliff, drop, drop-off",0.0005190238007344306
0,"greenhouse, nursery, glasshouse",0.0004837690794374794
0,"jackfruit, jak, jack",0.0004693087248597294
0,"wallaby, brush kangaroo",0.00045329504064284265
0,"thatch, thatched roof",0.0003626545367296785
0,swing,0.0003585070662666112
0,stole,0.0003569141263142228
0,trench coat,0.00035425485111773014
0,"seashore, coast, seacoast, sea-coast",0.0003535804571583867
0,banana,0.00034314196091145277
0,croquet ball,0.0003400784626137465
0,"maze, labyrinth",0.0003330999461468309
0,custard apple,0.0003293187473900616
0,volleyball,0.00030568658257834613
0,sock,0.000300466432236135
0,"spider monkey, Ateles geoffroyi",0.000297922408208251
0,military uniform,0.00029398122569546103
0,"pineapple, ananas",0.00027688214322552085
0,running shoe,0.00027684701490215957
0,"squirrel monkey, Saimiri sciureus",0.000261383451288566
0,broom,0.0002526761672925204
0,"bell cote, bell cot",0.0002465486468281597
0,"polecat, fitch, foulmart, foumart, Mustela putorius",0.00022341102885548025
0,"harmonica, mouth organ, harp, mouth harp",0.0002211373794125393
0,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",0.0002134648966602981
0,crutch,0.00021163067140150815
0,wig,0.00021083373576402664
0,"three-toed sloth, ai, Bradypus tridactylus",0.00020612860680557787
0,"jersey, T-shirt, tee shirt",0.00018917587294708937
0,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.00018733853357844055
0,conch,0.00018281776283401996
0,"starfish, sea star",0.00018164486391469836
0,giant schnauzer,0.00016780462465249002
0,drumstick,0.0001673973456490785
0,"lipstick, lip rouge",0.00016724815941415727
0,"common iguana, iguana, Iguana iguana",0.00016214174684137106
0,cowboy boot,0.00016135979967657477
0,overskirt,0.00016134872566908598
0,cloak,0.0001597755472175777
0,"ice lolly, lolly, lollipop, popsicle",0.000152742097270675
0,Band Aid,0.00014996818208601326
0,"box turtle, box tortoise",0.00014789539272896945
0,safe,0.00013772909005638212
0,"flute, transverse flute",0.0001371892576571554
0,"sea anemone, anemone",0.00013718206901103258
0,armadillo,0.00013620943354908377
0,"mailbag, postbag",0.0001331633102381602
0,oxcart,0.00012476211122702807
0,"capuchin, ringtail, Cebus capucinus",0.00012450668145902455
0,"bow tie, bow-tie, bowtie",0.00012416139361448586
0,"valley, vale",0.00012319821689743549
0,coucal,0.0001230499183293432
0,Granny Smith,0.00012299629452172667
0,Italian greyhound,0.00012171844718977809
0,Lakeland terrier,0.00012149600661359727
0,sea urchin,0.00011928556341445073
0,velvet,0.0001191491392091848
0,"dingo, warrigal, warragal, Canis dingo",0.00011681895557558164
0,volcano,0.00011513294884935021
0,"French horn, horn",0.00011086418089689687
0,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.00010929464042419568
0,daisy,0.00010725339234340936
0,bath towel,0.00010204572026850656
0,knot,0.0001020115741994232
0,whippet,0.00010173487680731341
0,"albatross, mollymawk",0.0001009041880024597
0,"oboe, hautboy, hautbois",0.00010003953502746299
0,sweatshirt,9.96200687950477e-05
0,"promontory, headland, head, foreland",9.894469258142635e-05
0,dung beetle,9.885141480481252e-05
0,"scale, weighing machine",9.782581037143245e-05
0,"jeep, landrover",9.66396473813802e-05
0,"academic gown, academic robe, judge's robe",9.596956078894436e-05
0,"meerkat, mierkat",9.596095333108678e-05
0,"cucumber, cuke",9.369842882733792e-05
0,rapeseed,9.365689038531855e-05
0,"swimming trunks, bathing trunks",9.308477456215769e-05
0,weasel,9.300074452767149e-05
0,"horizontal bar, high bar",9.217849583365023e-05
0,"feather boa, boa",9.209080599248409e-05
0,acorn,9.17875295272097e-05
0,cassette player,9.16800054255873e-05
0,umbrella,9.157969179796055e-05
0,digital watch,9.097539441427216e-05
0,mortarboard,9.09705413505435e-05
0,"patio, terrace",9.083632903639227e-05
0,rifle,8.65861657075584e-05
0,coral fungus,8.615734986960888e-05
0,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",8.493209315929562e-05
0,"hotdog, hot dog, red hot",8.446481660939753e-05
0,rhinoceros beetle,8.318394247908145e-05
0,Greater Swiss Mountain dog,8.239951421273872e-05
0,"ocarina, sweet potato",8.23715454316698e-05
0,lotion,8.158894343068823e-05
0,"echidna, spiny anteater, anteater",8.088556205620989e-05
0,toucan,8.055500802583992e-05
0,marmot,8.04862065706402e-05
